Id Cliente,No Crédito,Ciclo de crédito,Tasa Corriente,Tasa Mora,Plazo,Frecuencia,Monto del crédito aprobado,Monto desembolsado,Fecha de desembolso,Saldo de capital,Fecha del primer pago,Fecha de la última cuota del crédito,Días de vencimiento,Valor de la cuota,Capital adeudado a la fecha,Intereses corrientes adeudado a la fecha,Intereses en mora adeudado a la fecha,Pagaré,Estado del crédito,Capital vencido,Marcaciones,Intereses corrientes causados a la fecha,Intereses en mora causados a la fecha
5f342abc2f41f32464000001,620854a988f4071f1bcf6ac7,3,0.273503788,0.274492636,12,1,1518000,1518000,12/02/2022,1310805.79,14/03/2022,14/02/2023,85,143851.9527,465812.08,51738.24,3197.1,3083,active,258617.87,,17911.18,3006.08
5f7499ac2f41f32967000003,6228ab1544a7435126e65d9e,1,0.276097266,0.277102976,12,1,1118000,1118000,09/03/2022,994405.22,07/04/2022,07/03/2023,62,106058.7835,342823.35,19107.36,1586.38,4014,active,219228.57,,0,0
5f4303dab93bdc1dd2000077,617dba7dfe25582b78e84ae8,2,0.255203446,0.256356757,12,1,1018000,1018000,29/10/2021,364238.26,05/12/2021,05/11/2022,0,95743.36361,652657.19,890.52,0,1650,active,0,,445.26,0
5e72d334a3f1784ff300020f,61a102fc58ed7c12871d1d78,1,0.258103357,0.259096061,12,1,1618000,1618000,29/11/2021,708352.53,26/12/2021,26/11/2022,0,152357.3279,898446.26,451.93,0,2090,active,0,,5306.52,0
5f4ae9dc2f41f3bd1f0016b0,6094a823c3ec8d1771447e8a,2,0.260801629,0.2597,6,1,700000,700000,27/04/2021,0,27/05/2021,27/10/2021,0,124757.2824,700000.03,0,0,1811-0766,closed,0,,0,0
621b9db0024a4a79f600f75c,6228ab2c7ea16a513a88a358,1,0.276097266,0.277102976,6,1,1518000,1518000,09/03/2022,780411.18,07/04/2022,07/09/2022,1,271482.5282,991305.48,13627.04,0,4017,active,253716.66,,0,0
5f2e071433eebb92df000c32,5fd4519e85d5675ef09f6e22,1,0.26675055,0.2714,3,1,250000,250000,30/10/2020,0,30/11/2020,30/01/2021,0,86671.7831,250000.01,0,0,6606-0057,closed,0,,0,0
620ecfda3b10c4b64a001b4c,628410b9dd85426568bd9946,2,0.284752035,0.295360889,13,1,1087392.58,1087392.58,17/05/2022,1087392.58,05/06/2022,05/06/2023,33,96515.33321,148695.06,36584.65,51.2,3884-01,active,148695.06,,1366.22,102.4
6244fffc024a4ac6ca00313d,6256e76d6577d82564057861,1,0.284797331,0.285794215,12,1,1218000,1218000,13/04/2022,1218000,07/05/2022,07/04/2023,62,115955.1916,276509.17,68995.3,2065.62,5011,active,276509.17,BID,0,0
621f5dc93b10c4b64a0089ef,622a8a7f04e5fd25b21c616a,1,0.276097266,0.277102976,12,1,1818000,1818000,10/03/2022,1257834.44,07/04/2022,07/03/2023,0,172464.1042,557471.23,4123.25,0,3971,active,0,,0,0
5dba15252f41f3ba2e00002f,5fd7f95ded9aa5310b3b7ac8,1,0.26675055,0.2619,3,1,350000,350000,10/12/2020,0,10/01/2021,10/03/2021,0,121340.4963,350000.01,0,0,1834-0172,writeOff,0,,0,0
621ba911024a4a79f600f7f9,6228aad844a7435126e65d9b,1,0.276097266,0.277102976,12,1,1318000,1318000,09/03/2022,1318000,07/04/2022,07/03/2023,92,125031.7323,404151.31,99154.27,6286.9,4007,active,404151.31,,0,0
5e7e7af42f41f3de1a00035a,6282c37446f41c4fc1214ce3,1,0.284797331,0.285794215,12,1,1524000,1524000,16/05/2022,1524000,14/06/2022,14/05/2023,24,145086.7914,112925.82,30262.65,0,5873,active,112925.82,BID,25196.08,0
5f7a70f4a3f1789f070000c2,5fd4530a43d64d5ed419cc4b,1,0.26675055,0.2676,3,1,350000,350000,04/11/2020,0,04/12/2020,04/02/2021,0,121340.4963,350000.01,0,0,1468-0071,writeOff,0,,0,0
5f7f736cb93bdca15d00002d,5fd4544143d64d5ed419ce46,1,0.26675055,0.2676,3,1,350000,350000,09/11/2020,0,09/12/2020,09/02/2021,0,121340.4963,350000.01,0,0,9381-0091,writeOff,0,,0,0
6022dc3ab93bdcd3de000002,628412a6dd85426568bd9948,2,0.284752035,0.295360889,18,1,1305217.8,1305217.8,17/05/2022,1305217.8,05/06/2022,05/11/2023,33,87905.0397,122003.6,43931.98,42.01,1463-01,active,122003.60,,1677.56,84.02
627ae0ec024a4a23c4000170,627d92cd042bc54faf504cf1,1,0.284797331,0.285794215,12,1,1524000,1524000,12/05/2022,1524000,14/06/2022,14/05/2023,24,145086.7914,112925.82,34370.69,0,5875,active,112925.82,,25196.08,0
623b5859024a4aae860009e5,6256e5269fbf31257d40ae4a,1,0.284797331,0.285794215,12,1,918000,918000,13/04/2022,779987.81,07/05/2022,07/04/2023,1,87394.79957,208403.46,16715.01,0,4980,active,70391.27,BID,0,0
5f923109b93bdc953a000007,5fd4544185d5675ef09f7190,1,0.26675055,0.2676,3,1,250000,250000,13/11/2020,0,13/12/2020,13/02/2021,0,86671.7831,250000.01,0,0,3673-0113,writeOff,0,,0,0
621a522f3b10c4b64a007243,623ceda53bccfe32809c9a9b,1,0.276097266,0.277102976,12,1,2018000,2018000,24/03/2022,1548947.23,20/04/2022,20/03/2023,0,191437.0529,459353.36,8394.96,0,4441,active,0,,18617.78,0
5ca7c8a5b93bdc09b0000eb0,609cdad89101cb0d71bd6436,1,0.259318406,0.2583,5,1,500000,500000,07/05/2021,0,15/06/2021,15/10/2021,0,105894.5392,500000.03,0,0,9502-0827,writeOff,0,,0,0
62425c19024a4a555e001ba7,6256e3736577d82564057825,1,0.284797331,0.285794215,12,1,1418000,1418000,13/04/2022,1058566.77,05/05/2022,05/04/2023,0,134995.4529,321912.97,25681,0,4903,active,0,BID,1426.72,0
5e7ff66b33eebb60280000bb,62427be43bccfe32809cd52a,1,0.276097266,0.277102976,12,1,1118000,1118000,29/03/2022,864213.55,25/04/2022,25/03/2023,0,106058.7835,254488.14,0,0,4577,active,701.69,,7175.42,115.3
6216f6c53b10c4b64a005b24,6228aa1544a7435126e65d98,1,0.276097266,0.277102976,12,1,1518000,1518000,09/03/2022,1393713.62,07/04/2022,07/03/2023,62,144004.6811,465479.29,54521.83,3273.01,3990,active,341192.91,,0,0
628ff8b41ee94dcaab00002b,629a858bec95cb45192e22dd,1,0.290001,0.306004007,12,1,2024000,2024000,03/06/2022,2024000,05/07/2022,05/06/2023,3,193093.481,149684.76,45598.39,0,6239,active,149684.76,IMEBU,2771.92,0
623b04bbc43a9a194e00027c,624dd4b9a26c0278f83c9258,1,0.284797331,0.285794215,12,1,1418000,1418000,06/04/2022,1314387.55,07/05/2022,07/04/2023,31,134995.4529,321912.97,55053.13,73.52,4954,active,218300.52,,0,0
6273119a3b10c4551400008b,627d927b46f41c4fc1210636,1,0.284797331,0.285794215,12,1,2024000,2024000,12/05/2022,2024000,14/06/2022,14/05/2023,24,192687.4448,149974.98,45647.07,0,5890,active,149974.98,,33462.48,0
600f27202f41f36ff40002ea,6256e4299fbf31257d40ae32,2,0.284797331,0.285794215,3,1,518000,518000,13/04/2022,176508.52,05/05/2022,05/07/2022,3,180004.9621,518000.01,3907.87,0,4921,active,176508.53,,237.9,0
5f2fffa0a3f1789633000094,625f166568cbb22b4913da56,2,0.284752035,0.286262693,7,1,1186200.76,1186200.76,19/04/2022,1007156.22,05/05/2022,05/11/2022,33,184057.9716,487224.77,48878.14,96.38,1252-01,active,308180.23,,1165.38,192.76
5f5181b0a3f1788a7f0001f9,5fd4519e43d64d5ed419ca21,1,0.26675055,0.2714,3,1,500000,500000,29/10/2020,0,29/11/2020,29/01/2021,0,173343.5662,500000.01,0,0,0430-24,writeOff,0,,0,0
627573573b10c4a7ac000630,627d5e9eae7338208a70a164,1,0.284797331,0.285794215,12,1,1524000,1524000,12/05/2022,1524000,14/06/2022,14/05/2023,24,145086.7914,112925.82,34370.69,0,5836,active,112925.82,IMEBU,25196.08,0
